,날짜,영화제목,영화평점
0,2022-01-01,코다,9.24
1,2022-01-01,스파이더맨: 노 웨이 홈,8.97
2,2022-01-01,러브 액츄얼리,8.93
3,2022-01-01,아멜리에,8.81
4,2022-01-01,고양이를 부탁해,8.81
5,2022-01-01,공각기동대,8.73
6,2022-01-01,돈 룩 업,8.68
7,2022-01-01,태일이,8.49
8,2022-01-01,엔칸토: 마법의 세계,8.31
9,2022-01-01,연애 빠진 로맨스,8.30
10,2022-01-01,킹스맨: 퍼스트 에이전트,8.17
11,2022-01-01,프렌치 디스패치,8.02
12,2022-01-01,라스트 나잇 인 소호,7.84
13,2022-01-01,유체이탈자,7.59
14,2022-01-01,디어 에반 핸슨,7.50
15,2022-01-01,해피 뉴 이어,7.21
16,2022-01-01,베놈 2: 렛 데어 비 카니지,6.11
17,2022-01-01,이터널스,5.57
18,2022-01-01,매트릭스: 리저렉션,5.57
19,2022-01-02,코다,9.24
20,2022-01-02,스파이더맨: 노 웨이 홈,8.96
21,2022-01-02,러브 액츄얼리,8.93
22,2022-01-02,아멜리에,8.81
23,2022-01-02,공각기동대,8.73
24,2022-01-02,돈 룩 업,8.68
25,2022-01-02,태일이,8.50
26,2022-01-02,엔칸토: 마법의 세계,8.30
27,2022-01-02,연애 빠진 로맨스,8.30
28,2022-01-02,킹스맨: 퍼스트 에이전트,8.16
29,2022-01-02,프렌치 디스패치,8.02
30,2022-01-02,라스트 나잇 인 소호,7.84
31,2022-01-02,유체이탈자,7.58
32,2022-01-02,디어 에반 핸슨,7.50
33,2022-01-02,해피 뉴 이어,7.14
34,2022-01-02,베놈 2: 렛 데어 비 카니지,6.11
35,2022-01-02,이터널스,5.57
36,2022-01-02,매트릭스: 리저렉션,5.54
37,2022-01-03,코다,9.24
38,2022-01-03,스파이더맨: 노 웨이 홈,8.95
39,2022-01-03,러브 액츄얼리,8.93
40,2022-01-03,아멜리에,8.81
41,2022-01-03,고양이를 부탁해,8.81
42,2022-01-03,공각기동대,8.73
43,2022-01-03,돈 룩 업,8.69
44,2022-01-03,태일이,8.48
45,2022-01-03,엔칸토: 마법의 세계,8.30
46,2022-01-03,연애 빠진 로맨스,8.30
47,2022-01-03,킹스맨: 퍼스트 에이전트,8.14
48,2022-01-03,프렌치 디스패치,8.01
49,2022-01-03,라스트 나잇 인 소호,7.84
50,2022-01-03,유체이탈자,7.58
51,2022-01-03,디어 에반 핸슨,7.49
52,2022-01-03,해피 뉴 이어,7.11
53,2022-01-03,베놈 2: 렛 데어 비 카니지,6.11
54,2022-01-03,이터널스,5.57
55,2022-01-03,매트릭스: 리저렉션,5.53
56,2022-01-04,코다,9.23
57,2022-01-04,스파이더맨: 노 웨이 홈,8.95
58,2022-01-04,러브 액츄얼리,8.93
59,2022-01-04,아멜리에,8.81
60,2022-01-04,고양이를 부탁해,8.81
61,2022-01-04,공각기동대,8.73
62,2022-01-04,돈 룩 업,8.68
63,2022-01-04,태일이,8.49
64,2022-01-04,연애 빠진 로맨스,8.30
65,2022-01-04,엔칸토: 마법의 세계,8.29
66,2022-01-04,킹스맨: 퍼스트 에이전트,8.13
67,2022-01-04,프렌치 디스패치,8.01
68,2022-01-04,라스트 나잇 인 소호,7.85
69,2022-01-04,아웃레이지,7.84
70,2022-01-04,유체이탈자,7.58
71,2022-01-04,해피 뉴 이어,7.08
72,2022-01-04,베놈 2: 렛 데어 비 카니지,6.11
73,2022-01-04,이터널스,5.57
74,2022-01-04,매트릭스: 리저렉션,5.52
75,2022-01-05,코다,9.23
76,2022-01-05,스파이더맨: 노 웨이 홈,8.95
77,2022-01-05,아멜리에,8.81
78,2022-01-05,고양이를 부탁해,8.81
79,2022-01-05,공각기동대,8.73
80,2022-01-05,돈 룩 업,8.69
81,2022-01-05,연애 빠진 로맨스,8.29
82,2022-01-05,엔칸토: 마법의 세계,8.29
83,2022-01-05,경관의 피,8.18
84,2022-01-05,킹스맨: 퍼스트 에이전트,8.11
85,2022-01-05,프렌치 디스패치,8.01
86,2022-01-05,아웃레이지,7.84
87,2022-01-05,유체이탈자,7.58
88,2022-01-05,해피 뉴 이어,7.10
89,2022-01-05,베놈 2: 렛 데어 비 카니지,6.11
90,2022-01-05,매트릭스: 리저렉션,5.53
91,2022-01-06,씽2게더,9.41
92,2022-01-06,코다,9.23
93,2022-01-06,러브레터,9.12
94,2022-01-06,스파이더맨: 노 웨이 홈,8.95
95,2022-01-06,아멜리에,8.81
96,2022-01-06,고양이를 부탁해,8.81
97,2022-01-06,드라이브 마이 카,8.75
98,2022-01-06,공각기동대,8.73
99,2022-01-06,돈 룩 업,8.69
100,2022-01-06,엔칸토: 마법의 세계,8.29
101,2022-01-06,연애 빠진 로맨스,8.29
102,2022-01-06,킹스맨: 퍼스트 에이전트,8.11
103,2022-01-06,프렌치 디스패치,8.01
104,2022-01-06,경관의 피,7.92
105,2022-01-06,아웃레이지,7.84
106,2022-01-06,유체이탈자,7.58
